mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.07940096855163574,0.0028241746740642394,0.003370380401611328,0.0004495564384738579,1,2,"{'max_depth': 1, 'min_samples_split': 2}",0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6,0.5866666666666667,0.006666666666666644,37
0.07714576721191406,0.0043484046218801925,0.0032700538635253907,0.00017678390217850808,1,3,"{'max_depth': 1, 'min_samples_split': 3}",0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0,39
0.07959380149841308,0.0026173913062066427,0.0032672882080078125,0.00022125043744791075,1,4,"{'max_depth': 1, 'min_samples_split': 4}",0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6,0.5866666666666667,0.006666666666666644,37
0.07837634086608887,0.003665927680174554,0.0032005786895751955,0.0001960079377497618,1,5,"{'max_depth': 1, 'min_samples_split': 5}",0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5,0.5666666666666667,0.03333333333333335,44
0.08019657135009765,0.001735492739939006,0.0033670902252197266,0.0003384287896718275,1,6,"{'max_depth': 1, 'min_samples_split': 6}",0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0,39
0.07587432861328125,0.0030340709867460553,0.003075838088989258,0.00013550945249551097,1,7,"{'max_depth': 1, 'min_samples_split': 7}",0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5,0.5666666666666667,0.03333333333333335,44
0.07574243545532226,0.001850406306292432,0.003090047836303711,0.0001460012463211399,1,8,"{'max_depth': 1, 'min_samples_split': 8}",0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0,39
0.09691758155822754,0.012265467502271896,0.004327297210693359,0.0010963163234653872,1,9,"{'max_depth': 1, 'min_samples_split': 9}",0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5166666666666667,0.5700000000000001,0.02666666666666666,43
0.08196959495544434,0.0054384476298532545,0.003285980224609375,7.420428872979101e-05,1,10,"{'max_depth': 1, 'min_samples_split': 10}",0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0,39
0.08284215927124024,0.006310260019488325,0.0037346839904785155,0.0007535175736906554,2,2,"{'max_depth': 2, 'min_samples_split': 2}",0.7,0.6,0.5666666666666667,0.6333333333333333,0.6,0.62,0.04521553322083511,30
0.08622961044311524,0.007557956752808685,0.003255796432495117,0.0001311846013440287,2,3,"{'max_depth': 2, 'min_samples_split': 3}",0.7,0.6,0.55,0.65,0.6,0.62,0.050990195135927834,30
0.08685293197631835,0.0033005241392416937,0.004007101058959961,0.0005375017079757463,2,4,"{'max_depth': 2, 'min_samples_split': 4}",0.6833333333333333,0.6166666666666667,0.5666666666666667,0.6166666666666667,0.55,0.6066666666666667,0.04666666666666666,36
0.07926220893859863,0.0019364726472385913,0.003243875503540039,0.00012345307579642947,2,5,"{'max_depth': 2, 'min_samples_split': 5}",0.6833333333333333,0.6166666666666667,0.5666666666666667,0.65,0.55,0.6133333333333333,0.049888765156985884,35
0.07762513160705567,0.0010363568045934492,0.003274345397949219,0.00017296288414582684,2,6,"{'max_depth': 2, 'min_samples_split': 6}",0.7,0.6166666666666667,0.55,0.6666666666666666,0.5666666666666667,0.6199999999999999,0.057154760664940796,33
0.07970342636108399,0.003031996877746301,0.0033860206604003906,0.00032696748624750315,2,7,"{'max_depth': 2, 'min_samples_split': 7}",0.7,0.6,0.55,0.65,0.5833333333333334,0.6166666666666667,0.05270462766947297,34
0.07842960357666015,0.003170315935921923,0.0035137176513671876,0.00037455164496315253,2,8,"{'max_depth': 2, 'min_samples_split': 8}",0.7,0.6166666666666667,0.6166666666666667,0.6333333333333333,0.55,0.6233333333333333,0.04784233364802438,28
0.07890195846557617,0.0017467778446372958,0.003278970718383789,0.00021089020236119186,2,9,"{'max_depth': 2, 'min_samples_split': 9}",0.7,0.6166666666666667,0.5333333333333333,0.6666666666666666,0.5833333333333334,0.62,0.05906681715556448,30
0.07343344688415528,0.001082749835462043,0.0031078338623046877,0.0001434918925381468,2,10,"{'max_depth': 2, 'min_samples_split': 10}",0.7,0.6,0.55,0.6833333333333333,0.5833333333333334,0.6233333333333333,0.05830951894845299,28
0.0776360034942627,0.002692878280477237,0.0031327724456787108,9.382459053010718e-05,3,2,"{'max_depth': 3, 'min_samples_split': 2}",0.7666666666666667,0.7333333333333333,0.6666666666666666,0.7666666666666667,0.7666666666666667,0.74,0.03887301263230204,20
0.0834731101989746,0.005814853706231508,0.00345463752746582,0.00022706399683343562,3,3,"{'max_depth': 3, 'min_samples_split': 3}",0.7166666666666667,0.7,0.6333333333333333,0.7666666666666667,0.7,0.7033333333333334,0.04268749491621902,27
0.0778162956237793,0.0013160015205575931,0.0032779216766357423,0.0001943086904827473,3,4,"{'max_depth': 3, 'min_samples_split': 4}",0.7666666666666667,0.7,0.7166666666666667,0.7333333333333333,0.8,0.7433333333333334,0.03590109871423006,19
0.07875680923461914,0.0022986464147631757,0.0033926963806152344,0.00024195081093851108,3,5,"{'max_depth': 3, 'min_samples_split': 5}",0.7833333333333333,0.6833333333333333,0.65,0.7166666666666667,0.7166666666666667,0.7100000000000001,0.044221663871405324,25
0.07448205947875977,0.0018410924343290585,0.0030615806579589845,0.00010789186494034789,3,6,"{'max_depth': 3, 'min_samples_split': 6}",0.8333333333333334,0.6666666666666666,0.6333333333333333,0.7,0.8166666666666667,0.7299999999999999,0.08055363982396384,21
0.0744659423828125,0.0019548380185285042,0.0032664775848388673,7.576889928560137e-05,3,7,"{'max_depth': 3, 'min_samples_split': 7}",0.7833333333333333,0.6666666666666666,0.6333333333333333,0.75,0.75,0.7166666666666666,0.05676462121975468,23
0.07521357536315917,0.0010058292022277866,0.0031087398529052734,0.00014960631905674328,3,8,"{'max_depth': 3, 'min_samples_split': 8}",0.7,0.6833333333333333,0.6666666666666666,0.6833333333333333,0.8,0.7066666666666667,0.047842333648024434,26
0.09013576507568359,0.01256786908436597,0.003872251510620117,0.00047562147622185646,3,9,"{'max_depth': 3, 'min_samples_split': 9}",0.75,0.6833333333333333,0.6666666666666666,0.8,0.7333333333333333,0.7266666666666668,0.047842333648024434,22
0.12156920433044434,0.01731037315633544,0.005306386947631836,0.0011538255408050822,3,10,"{'max_depth': 3, 'min_samples_split': 10}",0.7,0.6666666666666666,0.6666666666666666,0.7666666666666667,0.7833333333333333,0.7166666666666666,0.04944132324730445,23
0.09983415603637695,0.008934229033987579,0.004075145721435547,0.0004515756295583654,4,2,"{'max_depth': 4, 'min_samples_split': 2}",0.8833333333333333,0.7666666666666667,0.6666666666666666,0.8666666666666667,0.9,0.8166666666666667,0.0881917103688197,12
0.10480871200561523,0.004316511667643415,0.0042877674102783205,0.0008341016714012003,4,3,"{'max_depth': 4, 'min_samples_split': 3}",0.8833333333333333,0.7833333333333333,0.75,0.85,0.8166666666666667,0.8166666666666667,0.04714045207910316,12
0.10750117301940917,0.005213864830193121,0.004885625839233398,0.0007503761602171187,4,4,"{'max_depth': 4, 'min_samples_split': 4}",0.9,0.7666666666666667,0.6833333333333333,0.9166666666666666,0.85,0.8233333333333333,0.08730533902472529,11
0.09448637962341308,0.0066008883638569524,0.004007673263549805,0.000636946960336278,4,5,"{'max_depth': 4, 'min_samples_split': 5}",0.85,0.8,0.6666666666666666,0.8833333333333333,0.85,0.8099999999999999,0.07644896627453145,17
0.08046174049377441,0.0020221195536427017,0.003384971618652344,0.00012344296399812587,4,6,"{'max_depth': 4, 'min_samples_split': 6}",0.85,0.7833333333333333,0.7166666666666667,0.8833333333333333,0.8333333333333334,0.8133333333333332,0.05811865258054231,15
0.0935936450958252,0.01165570392088206,0.0035301685333251954,0.0002762799844022292,4,7,"{'max_depth': 4, 'min_samples_split': 7}",0.8833333333333333,0.8,0.7333333333333333,0.9,0.8666666666666667,0.8366666666666667,0.06182412330330471,10
0.08171286582946777,0.004676000650315588,0.003537559509277344,0.0005872471097020644,4,8,"{'max_depth': 4, 'min_samples_split': 8}",0.8833333333333333,0.8,0.6833333333333333,0.8833333333333333,0.8166666666666667,0.8133333333333332,0.0733333333333333,15
0.08377642631530761,0.004461013509033972,0.003431892395019531,0.00021807372627953564,4,9,"{'max_depth': 4, 'min_samples_split': 9}",0.8666666666666667,0.75,0.6833333333333333,0.8333333333333334,0.8333333333333334,0.7933333333333333,0.06716480559869963,18
0.07750191688537597,0.0008537182219153788,0.0035107612609863283,0.0006105713783746042,4,10,"{'max_depth': 4, 'min_samples_split': 10}",0.85,0.8166666666666667,0.65,0.8833333333333333,0.8833333333333333,0.8166666666666667,0.08692269873603531,12
0.08390002250671387,0.0015816342686715075,0.0035817623138427734,0.00029359793559240405,5,2,"{'max_depth': 5, 'min_samples_split': 2}",0.9166666666666666,0.8333333333333334,0.8333333333333334,0.9666666666666667,0.95,0.9,0.056764621219754646,1
