mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_leaf_size,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0006358623504638672,7.293348648019436e-05,0.003620481491088867,0.0002739150204878094,5,1,"{'leaf_size': 5, 'n_neighbors': 1}",0.9666666666666667,0.8833333333333333,0.8666666666666667,0.9666666666666667,0.9333333333333333,0.9233333333333335,0.04163331998932266,2
0.0006986141204833984,0.00017795843835636602,0.0041676521301269535,0.0007080291715793514,5,3,"{'leaf_size': 5, 'n_neighbors': 3}",0.9,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.9166666666666666,0.9100000000000001,0.024944382578492935,7
0.00055084228515625,6.601389829875197e-05,0.0033830642700195313,0.00030785622485449523,5,5,"{'leaf_size': 5, 'n_neighbors': 5}",0.9,0.9,0.85,0.9666666666666667,0.9,0.9033333333333333,0.03711842908553349,14
0.0005946159362792969,8.859077473064944e-05,0.0032500267028808595,0.0002996104355853566,5,7,"{'leaf_size': 5, 'n_neighbors': 7}",0.8833333333333333,0.8833333333333333,0.8666666666666667,0.95,0.9166666666666666,0.9,0.029814239699997178,22
0.000586843490600586,0.0001441530544726448,0.003250265121459961,0.00013174248720626794,5,9,"{'leaf_size': 5, 'n_neighbors': 9}",0.8833333333333333,0.8833333333333333,0.8166666666666667,0.9,0.9,0.8766666666666666,0.030912061651652355,47
0.0005700111389160157,0.00015534820395242236,0.003315591812133789,0.00036218265463375954,5,11,"{'leaf_size': 5, 'n_neighbors': 11}",0.8666666666666667,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9333333333333333,0.8933333333333333,0.037416573867739396,25
0.0006194114685058594,0.00012398903134365548,0.0036827564239501954,0.00028077638467288995,5,13,"{'leaf_size': 5, 'n_neighbors': 13}",0.8833333333333333,0.8666666666666667,0.8333333333333334,0.9333333333333333,0.95,0.8933333333333333,0.042946995755750395,25
0.0005948066711425782,0.00018886697000533052,0.0033103466033935548,0.00043381292947242454,5,15,"{'leaf_size': 5, 'n_neighbors': 15}",0.8833333333333333,0.8666666666666667,0.8,0.9166666666666666,0.9333333333333333,0.8799999999999999,0.04642796092394705,43
0.000496530532836914,6.128750728035925e-05,0.003289604187011719,0.0004666478748890244,5,17,"{'leaf_size': 5, 'n_neighbors': 17}",0.85,0.8666666666666667,0.8166666666666667,0.9166666666666666,0.9333333333333333,0.8766666666666666,0.04294699575575042,47
0.0004901885986328125,5.892673265928515e-05,0.0034368038177490234,0.0004557474507120745,5,19,"{'leaf_size': 5, 'n_neighbors': 19}",0.85,0.85,0.8333333333333334,0.9,0.95,0.8766666666666666,0.0429469957557504,47
0.00043702125549316406,2.4373329723912004e-05,0.003000211715698242,0.00045992698705170544,10,1,"{'leaf_size': 10, 'n_neighbors': 1}",0.9666666666666667,0.8833333333333333,0.8666666666666667,0.9666666666666667,0.9333333333333333,0.9233333333333335,0.04163331998932266,2
0.00046324729919433594,4.173946065752566e-05,0.003176975250244141,0.0003156957079529426,10,3,"{'leaf_size': 10, 'n_neighbors': 3}",0.9,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.9166666666666666,0.9100000000000001,0.024944382578492935,7
0.0004868030548095703,5.243092890451953e-05,0.0031062602996826173,0.00010175783162410844,10,5,"{'leaf_size': 10, 'n_neighbors': 5}",0.9,0.9,0.85,0.9666666666666667,0.9,0.9033333333333333,0.03711842908553349,14
0.00047664642333984376,1.9460214577381227e-05,0.0030628204345703124,8.72283102286764e-05,10,7,"{'leaf_size': 10, 'n_neighbors': 7}",0.8833333333333333,0.8833333333333333,0.8666666666666667,0.95,0.9166666666666666,0.9,0.029814239699997178,22
0.00044708251953125,1.4195338887283036e-05,0.0030622959136962892,7.243726166749798e-05,10,9,"{'leaf_size': 10, 'n_neighbors': 9}",0.8833333333333333,0.8833333333333333,0.8166666666666667,0.9,0.9,0.8766666666666666,0.030912061651652355,47
0.0004614353179931641,2.684284043339275e-05,0.0031343936920166016,8.58315626735673e-05,10,11,"{'leaf_size': 10, 'n_neighbors': 11}",0.8666666666666667,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9333333333333333,0.8933333333333333,0.037416573867739396,25
0.0005125522613525391,5.62325066072645e-05,0.00322575569152832,0.00034084253359122546,10,13,"{'leaf_size': 10, 'n_neighbors': 13}",0.8833333333333333,0.8666666666666667,0.8333333333333334,0.9333333333333333,0.95,0.8933333333333333,0.042946995755750395,25
0.00047626495361328123,5.058579307072045e-05,0.0031334400177001954,0.0002515017731323347,10,15,"{'leaf_size': 10, 'n_neighbors': 15}",0.8833333333333333,0.8666666666666667,0.8,0.9166666666666666,0.9333333333333333,0.8799999999999999,0.04642796092394705,43
0.0005821704864501954,0.00015125552760546408,0.00329742431640625,0.0002034425945029387,10,17,"{'leaf_size': 10, 'n_neighbors': 17}",0.85,0.8666666666666667,0.8166666666666667,0.9166666666666666,0.9333333333333333,0.8766666666666666,0.04294699575575042,47
0.0005388259887695312,0.00018373650106912883,0.0033100128173828127,0.0004876857344718436,10,19,"{'leaf_size': 10, 'n_neighbors': 19}",0.85,0.85,0.8333333333333334,0.9,0.95,0.8766666666666666,0.0429469957557504,47
0.000505828857421875,0.0001666552757827422,0.0030280113220214843,0.00041995886918508394,15,1,"{'leaf_size': 15, 'n_neighbors': 1}",0.9666666666666667,0.8833333333333333,0.8666666666666667,0.9666666666666667,0.9333333333333333,0.9233333333333335,0.04163331998932266,2
0.0004249095916748047,1.2675619669870405e-05,0.0029324054718017577,0.00020715496528176926,15,3,"{'leaf_size': 15, 'n_neighbors': 3}",0.9,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.9166666666666666,0.9100000000000001,0.024944382578492935,7
