mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_leaf_size,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0005182743072509766,8.833547029938269e-05,0.003244829177856445,0.00039720842673954325,5,1,"{'leaf_size': 5, 'n_neighbors': 1}",0.9666666666666667,0.8833333333333333,0.8666666666666667,0.9666666666666667,0.9333333333333333,0.9233333333333335,0.04163331998932266,2
0.0004410743713378906,9.66227877557831e-06,0.0028602123260498048,0.00012898234473181144,5,3,"{'leaf_size': 5, 'n_neighbors': 3}",0.9,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.9166666666666666,0.9100000000000001,0.024944382578492935,7
0.0004516124725341797,2.8254522990632942e-05,0.002854156494140625,8.452352572851322e-05,5,5,"{'leaf_size': 5, 'n_neighbors': 5}",0.9,0.9,0.85,0.9666666666666667,0.9,0.9033333333333333,0.03711842908553349,14
0.0004824161529541016,4.787682531174444e-05,0.0030102252960205076,0.00017940869917047454,5,7,"{'leaf_size': 5, 'n_neighbors': 7}",0.8833333333333333,0.8833333333333333,0.8666666666666667,0.95,0.9166666666666666,0.9,0.029814239699997178,22
0.0004391193389892578,8.559725064207791e-06,0.0028644084930419924,5.903128467223887e-05,5,9,"{'leaf_size': 5, 'n_neighbors': 9}",0.8833333333333333,0.8833333333333333,0.8166666666666667,0.9,0.9,0.8766666666666666,0.030912061651652355,47
0.00044183731079101564,1.5527182713534243e-05,0.00295867919921875,0.00011118045043271618,5,11,"{'leaf_size': 5, 'n_neighbors': 11}",0.8666666666666667,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9333333333333333,0.8933333333333333,0.037416573867739396,25
0.00043845176696777344,1.5610864977318078e-05,0.0028821468353271485,8.318404749538358e-05,5,13,"{'leaf_size': 5, 'n_neighbors': 13}",0.8833333333333333,0.8666666666666667,0.8333333333333334,0.9333333333333333,0.95,0.8933333333333333,0.042946995755750395,25
0.0004464626312255859,2.979625640170541e-05,0.0028982639312744142,0.00011034566144942071,5,15,"{'leaf_size': 5, 'n_neighbors': 15}",0.8833333333333333,0.8666666666666667,0.8,0.9166666666666666,0.9333333333333333,0.8799999999999999,0.04642796092394705,43
0.00042786598205566404,1.2635374942961519e-05,0.002882528305053711,0.0001018081838661774,5,17,"{'leaf_size': 5, 'n_neighbors': 17}",0.85,0.8666666666666667,0.8166666666666667,0.9166666666666666,0.9333333333333333,0.8766666666666666,0.04294699575575042,47
0.00043244361877441405,8.440691172136459e-06,0.0029111862182617187,0.00014317313397244592,5,19,"{'leaf_size': 5, 'n_neighbors': 19}",0.85,0.85,0.8333333333333334,0.9,0.95,0.8766666666666666,0.0429469957557504,47
0.00047626495361328123,0.00011069901718488033,0.0027707099914550783,0.00011532752003015922,10,1,"{'leaf_size': 10, 'n_neighbors': 1}",0.9666666666666667,0.8833333333333333,0.8666666666666667,0.9666666666666667,0.9333333333333333,0.9233333333333335,0.04163331998932266,2
0.0005155563354492188,0.00015854269749005024,0.00284576416015625,5.318156082206331e-05,10,3,"{'leaf_size': 10, 'n_neighbors': 3}",0.9,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.9166666666666666,0.9100000000000001,0.024944382578492935,7
0.0004276752471923828,1.4920812999749251e-05,0.002859163284301758,0.000157989715249417,10,5,"{'leaf_size': 10, 'n_neighbors': 5}",0.9,0.9,0.85,0.9666666666666667,0.9,0.9033333333333333,0.03711842908553349,14
0.00045032501220703124,3.9533625280780436e-05,0.0030853271484375,0.0003820467221097268,10,7,"{'leaf_size': 10, 'n_neighbors': 7}",0.8833333333333333,0.8833333333333333,0.8666666666666667,0.95,0.9166666666666666,0.9,0.029814239699997178,22
0.00044069290161132815,2.7762653465365924e-05,0.002863788604736328,5.486769397975883e-05,10,9,"{'leaf_size': 10, 'n_neighbors': 9}",0.8833333333333333,0.8833333333333333,0.8166666666666667,0.9,0.9,0.8766666666666666,0.030912061651652355,47
0.0004338741302490234,2.444663705874509e-05,0.0028846263885498047,9.417660627840008e-05,10,11,"{'leaf_size': 10, 'n_neighbors': 11}",0.8666666666666667,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9333333333333333,0.8933333333333333,0.037416573867739396,25
0.0004206180572509766,8.868914774809357e-06,0.0029191493988037108,9.046713107620143e-05,10,13,"{'leaf_size': 10, 'n_neighbors': 13}",0.8833333333333333,0.8666666666666667,0.8333333333333334,0.9333333333333333,0.95,0.8933333333333333,0.042946995755750395,25
0.00046358108520507815,7.63647823499211e-05,0.0029459476470947267,0.00013358160439480012,10,15,"{'leaf_size': 10, 'n_neighbors': 15}",0.8833333333333333,0.8666666666666667,0.8,0.9166666666666666,0.9333333333333333,0.8799999999999999,0.04642796092394705,43
0.0004555702209472656,7.685342924815241e-05,0.002941465377807617,5.3667084784436985e-05,10,17,"{'leaf_size': 10, 'n_neighbors': 17}",0.85,0.8666666666666667,0.8166666666666667,0.9166666666666666,0.9333333333333333,0.8766666666666666,0.04294699575575042,47
0.0004643917083740234,4.796100103142155e-05,0.0030881404876708985,7.077355827469832e-05,10,19,"{'leaf_size': 10, 'n_neighbors': 19}",0.85,0.85,0.8333333333333334,0.9,0.95,0.8766666666666666,0.0429469957557504,47
0.00040602684020996094,1.1365341394753618e-05,0.0028237342834472657,0.0001220907626307592,15,1,"{'leaf_size': 15, 'n_neighbors': 1}",0.9666666666666667,0.8833333333333333,0.8666666666666667,0.9666666666666667,0.9333333333333333,0.9233333333333335,0.04163331998932266,2
0.0004775524139404297,0.00010035638129645888,0.00312042236328125,0.00031492201017425963,15,3,"{'leaf_size': 15, 'n_neighbors': 3}",0.9,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.9166666666666666,0.9100000000000001,0.024944382578492935,7
0.0004059791564941406,1.236599739942522e-05,0.0028424739837646486,0.00013535519764321463,15,5,"{'leaf_size': 15, 'n_neighbors': 5}",0.9,0.9,0.85,0.9666666666666667,0.9,0.9033333333333333,0.03711842908553349,14
0.00042977333068847654,5.5635597402489326e-05,0.0027988910675048827,7.037518767950113e-05,15,7,"{'leaf_size': 15, 'n_neighbors': 7}",0.9,0.8833333333333333,0.8666666666666667,0.95,0.9166666666666666,0.9033333333333333,0.02867441755680873,14
0.0004261970520019531,2.1434665638192757e-05,0.0028186798095703124,0.0001162387379258378,15,9,"{'leaf_size': 15, 'n_neighbors': 9}",0.9,0.8833333333333333,0.8333333333333334,0.9,0.9,0.8833333333333334,0.025819888974716106,37
0.0004908084869384765,0.0001372529686390906,0.0030074119567871094,0.0002444808794300174,15,11,"{'leaf_size': 15, 'n_neighbors': 11}",0.8666666666666667,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9333333333333333,0.8933333333333333,0.037416573867739396,25
0.0004181861877441406,2.572358587512429e-05,0.0028653621673583986,0.00010456816005114666,15,13,"{'leaf_size': 15, 'n_neighbors': 13}",0.8833333333333333,0.8666666666666667,0.8333333333333334,0.9333333333333333,0.95,0.8933333333333333,0.042946995755750395,25
0.00044078826904296874,5.664444117443641e-05,0.002871847152709961,0.00013906223031592808,15,15,"{'leaf_size': 15, 'n_neighbors': 15}",0.8833333333333333,0.8666666666666667,0.8166666666666667,0.9166666666666666,0.9333333333333333,0.8833333333333332,0.0408248290463863,40
0.0004511833190917969,8.085977270165602e-05,0.002900505065917969,5.779467003238086e-05,15,17,"{'leaf_size': 15, 'n_neighbors': 17}",0.85,0.8666666666666667,0.8166666666666667,0.9166666666666666,0.9333333333333333,0.8766666666666666,0.04294699575575042,47
0.0004520416259765625,5.930999406014722e-05,0.002916240692138672,6.558454398904001e-05,15,19,"{'leaf_size': 15, 'n_neighbors': 19}",0.85,0.85,0.8333333333333334,0.9,0.95,0.8766666666666666,0.0429469957557504,47
0.0004077911376953125,1.132184540028155e-05,0.0026910781860351564,5.779049966871582e-05,20,1,"{'leaf_size': 20, 'n_neighbors': 1}",0.9666666666666667,0.8833333333333333,0.8666666666666667,0.9666666666666667,0.9333333333333333,0.9233333333333335,0.04163331998932266,2
0.00041899681091308596,2.4552530027588268e-05,0.0028542041778564452,0.00018378213435322455,20,3,"{'leaf_size': 20, 'n_neighbors': 3}",0.9,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.9166666666666666,0.9100000000000001,0.024944382578492935,7
0.0004193305969238281,1.8486528314916123e-05,0.0028594493865966796,0.0001337735692082331,20,5,"{'leaf_size': 20, 'n_neighbors': 5}",0.9,0.9,0.85,0.9666666666666667,0.9,0.9033333333333333,0.03711842908553349,14
0.00041556358337402344,1.3957570172482072e-05,0.0028344154357910155,4.481320585129166e-05,20,7,"{'leaf_size': 20, 'n_neighbors': 7}",0.9,0.8833333333333333,0.8666666666666667,0.95,0.9166666666666666,0.9033333333333333,0.02867441755680873,14
0.0004357814788818359,4.494462776519832e-05,0.0029322147369384766,0.0001231427321928431,20,9,"{'leaf_size': 20, 'n_neighbors': 9}",0.9,0.8833333333333333,0.8333333333333334,0.9,0.9,0.8833333333333334,0.025819888974716106,37
0.0004745006561279297,6.296912266261067e-05,0.0030191898345947265,0.0001483115804775175,20,11,"{'leaf_size': 20, 'n_neighbors': 11}",0.8666666666666667,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9333333333333333,0.8933333333333333,0.037416573867739396,25
0.00040988922119140626,1.4924622186548235e-05,0.0031528472900390625,0.0003862640878386783,20,13,"{'leaf_size': 20, 'n_neighbors': 13}",0.8833333333333333,0.8666666666666667,0.8333333333333334,0.9333333333333333,0.95,0.8933333333333333,0.042946995755750395,25
0.0004263877868652344,2.1415563167694788e-05,0.002976512908935547,0.00017891846462528093,20,15,"{'leaf_size': 20, 'n_neighbors': 15}",0.8833333333333333,0.8666666666666667,0.8166666666666667,0.9166666666666666,0.9333333333333333,0.8833333333333332,0.0408248290463863,40
0.00041527748107910155,8.249971879174928e-06,0.0029996395111083984,0.0002567923540246925,20,17,"{'leaf_size': 20, 'n_neighbors': 17}",0.85,0.8666666666666667,0.8166666666666667,0.9166666666666666,0.9333333333333333,0.8766666666666666,0.04294699575575042,47
0.0004210472106933594,1.912764965058971e-05,0.002929544448852539,0.00015278338783261528,20,19,"{'leaf_size': 20, 'n_neighbors': 19}",0.85,0.85,0.8333333333333334,0.9,0.95,0.8766666666666666,0.0429469957557504,47
0.0004099369049072266,1.6793606285511382e-05,0.0028753757476806642,0.0003404711941063737,25,1,"{'leaf_size': 25, 'n_neighbors': 1}",0.9666666666666667,0.8833333333333333,0.8666666666666667,0.9666666666666667,0.9333333333333333,0.9233333333333335,0.04163331998932266,2
0.0004784107208251953,7.652836786218282e-05,0.003024387359619141,0.00030528745991997895,25,3,"{'leaf_size': 25, 'n_neighbors': 3}",0.9,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.9166666666666666,0.9100000000000001,0.024944382578492935,7
0.0004348278045654297,2.212822417217473e-05,0.002940511703491211,0.0001948305863154602,25,5,"{'leaf_size': 25, 'n_neighbors': 5}",0.9,0.9,0.85,0.9666666666666667,0.9,0.9033333333333333,0.03711842908553349,14
0.00042586326599121095,2.836135062360387e-05,0.0030728816986083985,0.0003959731271700001,25,7,"{'leaf_size': 25, 'n_neighbors': 7}",0.9,0.8833333333333333,0.8666666666666667,0.95,0.9166666666666666,0.9033333333333333,0.02867441755680873,14
0.0004461765289306641,5.805550659169368e-05,0.0029572010040283202,0.00010977880886173084,25,9,"{'leaf_size': 25, 'n_neighbors': 9}",0.9,0.8833333333333333,0.8333333333333334,0.9,0.9,0.8833333333333334,0.025819888974716106,37
0.00041894912719726564,1.96370087113897e-05,0.002927541732788086,0.00011214770013263646,25,11,"{'leaf_size': 25, 'n_neighbors': 11}",0.8666666666666667,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9333333333333333,0.8933333333333333,0.037416573867739396,25
0.0004523754119873047,1.5942770676108072e-05,0.003295755386352539,0.00013951383356163274,25,13,"{'leaf_size': 25, 'n_neighbors': 13}",0.8833333333333333,0.8666666666666667,0.8333333333333334,0.9333333333333333,0.95,0.8933333333333333,0.042946995755750395,25
0.00048699378967285154,4.335039872894873e-05,0.0033540248870849608,0.0003371085739442205,25,15,"{'leaf_size': 25, 'n_neighbors': 15}",0.8833333333333333,0.8666666666666667,0.8166666666666667,0.9166666666666666,0.9333333333333333,0.8833333333333332,0.0408248290463863,40
0.0004688262939453125,6.082872409487869e-05,0.003573322296142578,0.0005788519819388958,25,17,"{'leaf_size': 25, 'n_neighbors': 17}",0.85,0.8666666666666667,0.8166666666666667,0.9166666666666666,0.9333333333333333,0.8766666666666666,0.04294699575575042,47
0.0004693508148193359,4.3324165695422315e-05,0.00351409912109375,0.00024358246933785992,25,19,"{'leaf_size': 25, 'n_neighbors': 19}",0.85,0.85,0.8333333333333334,0.9,0.95,0.8766666666666666,0.0429469957557504,47
0.0006279468536376954,0.00015356128873961002,0.003509664535522461,0.0002405149136841948,30,1,"{'leaf_size': 30, 'n_neighbors': 1}",0.9666666666666667,0.9,0.8666666666666667,0.9666666666666667,0.9333333333333333,0.9266666666666667,0.038873012632301994,1
0.0004750728607177734,6.10527743303415e-05,0.003186750411987305,0.00035126688827780914,30,3,"{'leaf_size': 30, 'n_neighbors': 3}",0.9,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.9166666666666666,0.9100000000000001,0.024944382578492935,7
0.0004378318786621094,2.122627099401331e-05,0.003012418746948242,0.0001435174494580672,30,5,"{'leaf_size': 30, 'n_neighbors': 5}",0.9,0.9,0.85,0.9666666666666667,0.9166666666666666,0.9066666666666666,0.03741657386773942,13
0.00043888092041015624,9.060407925806901e-06,0.003031492233276367,5.392625609864183e-05,30,7,"{'leaf_size': 30, 'n_neighbors': 7}",0.8833333333333333,0.8833333333333333,0.8666666666666667,0.95,0.9,0.8966666666666667,0.028674417556808742,24
0.00043582916259765625,1.9169802665947077e-05,0.003018617630004883,6.67108647426736e-05,30,9,"{'leaf_size': 30, 'n_neighbors': 9}",0.9,0.8833333333333333,0.8166666666666667,0.9,0.9,0.8799999999999999,0.032317865716108875,43
0.0004428386688232422,2.4147270978873595e-05,0.0031593799591064452,0.0002677313299708971,30,11,"{'leaf_size': 30, 'n_neighbors': 11}",0.8666666666666667,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9333333333333333,0.8933333333333333,0.037416573867739396,25
0.00045518875122070314,3.024794253437809e-05,0.0032632827758789064,0.00012403508837015536,30,13,"{'leaf_size': 30, 'n_neighbors': 13}",0.8833333333333333,0.8666666666666667,0.8333333333333334,0.9333333333333333,0.95,0.8933333333333333,0.042946995755750395,25
0.0004603862762451172,3.426200244554189e-05,0.0029949188232421876,0.00011903813473105168,30,15,"{'leaf_size': 30, 'n_neighbors': 15}",0.8833333333333333,0.8666666666666667,0.8,0.9166666666666666,0.9333333333333333,0.8799999999999999,0.04642796092394705,43
0.00040898323059082033,7.46764137055383e-06,0.0029288768768310548,0.00010095179826861381,30,17,"{'leaf_size': 30, 'n_neighbors': 17}",0.85,0.8666666666666667,0.8166666666666667,0.9166666666666666,0.9333333333333333,0.8766666666666666,0.04294699575575042,47
0.00041751861572265626,1.8997278558007083e-05,0.0029308319091796873,9.245027726816586e-05,30,19,"{'leaf_size': 30, 'n_neighbors': 19}",0.85,0.85,0.8333333333333334,0.9,0.95,0.8766666666666666,0.0429469957557504,47
